Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,15:14,6.88,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
10.Jul.2019,21:24,6.84,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
11.Jul.2019,02:51,6.95,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
11.Jul.2019,10:41,7.29,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
11.Jul.2019,15:39,7.12,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
10.Jul.2019,17:28,7.02,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
11.Jul.2019,00:14,9.48,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
11.Jul.2019,06:12,6.75,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
11.Jul.2019,13:38,9.44,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
11.Jul.2019,18:07,7.94,Thu 11 Jul 2019 14:45:42,Is it down right now?,T-Mobile
