Location,Reports,Status,Provider,Source,Date collected,Time collected
"Omaha, NE",572,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Chicago, IL",499,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Des Moines, IA",266,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Minneapolis, MN",245,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Atlanta, GA",189,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Cedar Rapids, IA",173,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"New Orleans, LA",91,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Camanche, IA",90,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"St. Louis, MO",88,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"West Des Moines, IA",86,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Urbana, IL",85,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Saint Paul, MN",81,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Los Angeles, CA",81,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Iowa City, IA",78,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Birmingham, AL",75,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"De Witt, IA",66,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Kansas City, MO",62,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Columbus, GA",59,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Ankeny, IA",57,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Ottumwa, IA",51,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Milton, FL",51,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Orlando, FL",50,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Kent, IL",48,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Council Bluffs, IA",44,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Davenport, IA",43,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Washington, D.C., DC",41,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Brooklyn, NY",40,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Elkhorn, NE",39,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Ames, IA",39,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
"Bettendorf, IA",38,  Some problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:53:23
