Location,Reports,Status,Provider,Source,Date collected,Time collected
"Manitowoc, WI",12,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Cedar Rapids, IA",7,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Madison, WI",4,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Des Moines, IA",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"De Witt, IA",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Camanche, IA",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Rumford, ME",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Berkeley Springs, WV",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Grants Pass, OR",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Milwaukee, WI",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Clinton, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Bettendorf, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"La Crosse, WI",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Waterloo, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Pella, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Urbandale, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Asheville, NC",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Ottumwa, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Medford, OR",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"New London, NH",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Eugene, OR",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Joplin, MO",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Beaver Dam, WI",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Springfield, OR",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"McAlester, OK",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Dixon, IA",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Alexandria, VA",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Orlando, FL",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Robersonville, NC",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
"Cecil, WI",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:12:12
