Location,Reports,Internet,Phone,E-mail,Wi-fi,TotalBlackout,TV,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",1214,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Houston, TX",837,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Chicago, IL",684,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Atlanta, GA",669,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Los Angeles, CA",330,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Charlotte, NC",286,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Cleveland, OH",218,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Miami, FL",214,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Austin, TX",203,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Mesquite, TX",197,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Allen, TX",172,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Kansas City, MO",166,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Orlando, FL",147,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Hayward, CA",143,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Roseville, MI",142,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Detroit, MI",138,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Fort Worth, TX",133,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"San Antonio, TX",125,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Indianapolis, IN",121,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Oklahoma City, OK",111,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"San Clemente, CA",111,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Fort Lauderdale, FL",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Brooklyn, NY",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"St. Louis, MO",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"New York City, NY",106,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Sacramento, CA",102,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Nashville, TN",95,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"San Francisco, CA",95,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Garland, TX",94,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
"Arlington, TX",92,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:06
