Location,Reports,Status,Provider,Source,Date collected,Time collected
"Chicago, IL",168,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Philadelphia, PA",118,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Brooklyn, NY",99,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Washington, D.C., DC",92,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"New York City, NY",78,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"The Bronx, NY",50,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Bethlehem, PA",26,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Greenbelt, MD",26,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Allentown, PA",25,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Silver Spring, MD",19,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Boston, MA",12,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Plymouth Meeting, PA",10,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Providence, RI",8,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Astoria, NY",8,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Easton, PA",8,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Macungie, PA",7,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Waltham, MA",7,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Upper Darby, PA",6,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Brookline, MA",6,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Somerville, MA",6,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Mountain View, CA",5,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Taunton, MA",5,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Upper Marlboro, MD",5,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Northampton, PA",5,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Woodside, NY",5,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Cambridge, MA",5,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Urbana, IL",5,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Baltimore, MD",4,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Dorchester, MA",4,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
"Harleysville, PA",4,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,12:50:54
