Location,Reports,Internet,Phone,E-mail,Wi-fi,TotalBlackout,TV,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",1214,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Houston, TX",837,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Chicago, IL",684,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Atlanta, GA",669,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Los Angeles, CA",330,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Charlotte, NC",286,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Cleveland, OH",218,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Miami, FL",214,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Austin, TX",203,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Mesquite, TX",197,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Allen, TX",172,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Kansas City, MO",166,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Orlando, FL",147,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Hayward, CA",143,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Roseville, MI",142,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Detroit, MI",138,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Fort Worth, TX",133,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"San Antonio, TX",125,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Indianapolis, IN",121,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Oklahoma City, OK",111,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"San Clemente, CA",111,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Fort Lauderdale, FL",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Brooklyn, NY",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"St. Louis, MO",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"New York City, NY",106,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Sacramento, CA",102,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Nashville, TN",95,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"San Francisco, CA",95,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Garland, TX",94,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
"Arlington, TX",92,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:08:18
