Location,Reports,Status,Provider,Source,Date collected,Time collected
"Denver, CO",350,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Seattle, WA",270,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Minneapolis, MN",253,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Omaha, NE",253,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Chicago, IL",249,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Los Angeles, CA",233,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Portland, OR",205,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Dallas, TX",191,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Salt Lake City, UT",179,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Phoenix, AZ",175,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Las Vegas, NV",128,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Saint Paul, MN",117,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Orlando, FL",97,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Des Moines, IA",97,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Albuquerque, NM",90,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Atlanta, GA",80,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Charlotte, NC",62,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Brooklyn, NY",49,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Cedar Rapids, IA",49,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Federal Way, WA",49,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Herriman, UT",48,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Houston, TX",45,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Mesquite, TX",44,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Kansas City, MO",40,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Urbana, IL",39,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Boise, ID",38,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Allen, TX",38,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Lakewood, CA",37,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"South Jordan, UT",36,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
"Gilbert, AZ",35,  Problems detected ,CenturyLink,Is the service down,Mon 22 Jul 2019,23:12:12
