Location,Reports,Status,Provider,Source,Date collected,Time collected
"Chicago, IL",138,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Houston, TX",121,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Brooklyn, NY",101,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Dallas, TX",82,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Atlanta, GA",73,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Detroit, MI",72,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Kansas City, MO",69,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Washington, D.C., DC",67,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Los Angeles, CA",64,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Orlando, FL",52,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"St. Louis, MO",44,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Charlotte, NC",42,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Philadelphia, PA",41,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Indianapolis, IN",36,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Westland, MI",33,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Omaha, NE",32,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"New York City, NY",29,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Fort Worth, TX",28,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Brazil, IN",27,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Phoenix, AZ",25,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Baltimore, MD",25,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Akron, OH",23,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Upper Marlboro, MD",23,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Minneapolis, MN",21,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Farmington, MI",21,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"San Antonio, TX",21,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Plymouth Meeting, PA",20,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Newark, NJ",19,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Denver, CO",19,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
"Fort Lauderdale, FL",18,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,12:47:02
