Location,Reports,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",1214,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Houston, TX",837,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Chicago, IL",684,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Atlanta, GA",668,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Los Angeles, CA",330,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Charlotte, NC",286,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Cleveland, OH",218,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Miami, FL",213,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Austin, TX",203,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Mesquite, TX",197,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Allen, TX",172,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Kansas City, MO",166,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Orlando, FL",147,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Hayward, CA",142,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Roseville, MI",141,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Detroit, MI",138,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Fort Worth, TX",133,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"San Antonio, TX",125,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Indianapolis, IN",121,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Oklahoma City, OK",111,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"San Clemente, CA",111,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Fort Lauderdale, FL",109,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Brooklyn, NY",109,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"St. Louis, MO",109,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"New York City, NY",106,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Sacramento, CA",102,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Nashville, TN",95,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"San Francisco, CA",95,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Garland, TX",94,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
"Arlington, TX",92,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,12:39:19
