Location,Reports,Phone,E-mail,Wi-fi,TotalBlackout,TV,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",1214,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Houston, TX",837,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Chicago, IL",684,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Atlanta, GA",669,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Los Angeles, CA",330,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Charlotte, NC",286,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Cleveland, OH",218,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Miami, FL",214,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Austin, TX",203,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Mesquite, TX",197,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Allen, TX",172,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Kansas City, MO",166,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Orlando, FL",147,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Hayward, CA",143,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Roseville, MI",142,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Detroit, MI",138,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Fort Worth, TX",133,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"San Antonio, TX",125,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Indianapolis, IN",121,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Oklahoma City, OK",111,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"San Clemente, CA",111,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Fort Lauderdale, FL",109,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Brooklyn, NY",109,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"St. Louis, MO",109,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"New York City, NY",106,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Sacramento, CA",102,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Nashville, TN",95,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"San Francisco, CA",95,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Garland, TX",94,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
"Arlington, TX",92,33.44%,7.67%,6.48%,5.77%,5.17%</dd></dl>,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:05:51
