Location,Reports,Internet,Phone,E-mail,Wi-fi,TotalBlackout,TV,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",1214,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",837,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",684,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",669,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",330,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",286,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Cleveland, OH",218,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Miami, FL",214,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Austin, TX",203,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Mesquite, TX",197,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Allen, TX",172,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",166,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",147,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Hayward, CA",143,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Roseville, MI",142,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Detroit, MI",138,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Worth, TX",133,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"San Antonio, TX",125,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Indianapolis, IN",121,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Oklahoma City, OK",111,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"San Clemente, CA",111,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Lauderdale, FL",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"St. Louis, MO",109,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"New York City, NY",106,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Sacramento, CA",102,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Nashville, TN",95,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"San Francisco, CA",95,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Garland, TX",94,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
"Arlington, TX",92,41.47%,33.44%,7.67%,6.48%,5.77%,5.17%,  Problems detected ,att,Is the service down,Tue 23 Jul 2019,13:10:32
